Date,Gold Spot Price,"GARCH(1,1) Volatility"
2000-08-31,278.29998779296875,784.3932761743057
2000-09-30,273.6000061035156,969.4856463172496
2000-10-31,264.8999938964844,985.875772949657
2000-11-30,270.1000061035156,995.1134334189128
2000-12-31,272.0,990.9613389638445
2001-01-31,265.6000061035156,988.9004287959879
2001-02-28,266.79998779296875,994.6816001747919
2001-03-31,257.8999938964844,993.9866419857813
2001-04-30,264.0,1002.1841542657837
2001-05-31,265.29998779296875,997.1240722177516
2001-06-30,270.6000061035156,995.5529546151128
2001-07-31,266.20001220703125,990.5302279011069
2001-08-31,274.3999938964844,994.2428196679829
2001-09-30,292.3999938964844,986.9162818882456
2001-10-31,279.5,969.721249574195
2001-11-30,273.8999938964844,980.420980115733
2001-12-31,278.70001220703125,986.3793557762114
2002-01-31,282.1000061035156,982.3626724512718
2002-02-28,296.70001220703125,978.9223278313025
2002-03-31,302.6000061035156,965.1555712420951
2002-04-30,308.8999938964844,958.6886327212978
2002-05-31,326.5,952.3849295699837
2002-06-30,313.5,935.6357121946247
2002-07-31,303.20001220703125,946.4600474236433
2002-08-31,312.3999938964844,956.7836374039878
2002-09-30,323.8999938964844,949.0058308126312
2002-10-31,318.0,937.7933496625201
2002-11-30,316.79998779296875,942.4436117664036
2002-12-31,347.6000061035156,943.8906624508733
2003-01-31,368.29998779296875,915.4992967001996
2003-02-28,350.20001220703125,894.2581789824332
2003-03-31,335.8999938964844,909.4777307287482
2003-04-30,339.1000061035156,923.8228968613172
2003-05-31,364.5,921.8874687096112
2003-06-30,346.0,898.2443961725826
2003-07-31,354.0,913.6565462759918
2003-08-31,375.70001220703125,907.352340101564
2003-09-30,385.3999938964844,886.8138490116338
2003-10-31,384.5,876.3308659961963
2003-11-30,396.79998779296875,876.4015616687266
2003-12-31,415.70001220703125,865.0203989312913
2004-01-31,402.20001220703125,846.7027766968152
2004-02-29,396.3999938964844,857.8714639331855
2004-03-31,427.29998779296875,864.0468923391862
2004-04-30,387.0,835.9109964235208
2004-05-31,394.0,871.2190285686291
2004-06-30,392.6000061035156,867.2338282684523
2004-07-31,391.0,868.2416545042908
2004-08-31,410.3999938964844,869.7964940485126
2004-09-30,418.70001220703125,851.955776451294
2004-10-31,428.5,842.9680053594494
2004-11-30,451.29998779296875,833.2429449967776
2004-12-31,437.5,811.4438549512594
2005-01-31,421.79998779296875,822.6302541409036
2005-02-28,436.5,837.9838387476303
2005-03-31,428.70001220703125,825.4768186181809
2005-04-30,435.0,831.7904246001373
2005-05-31,416.29998779296875,826.4120842424753
2005-06-30,435.8999938964844,843.35325670153
2005-07-31,429.8999938964844,826.4268541748332
2005-08-31,433.79998779296875,830.746828394038
2005-09-30,469.0,827.4470845687409
2005-10-31,465.1000061035156,794.6643542277773
2005-11-30,494.6000061035156,795.8525023824631
2005-12-31,517.0999755859375,768.660322926682
2006-01-31,570.7999877929688,745.8517951670827
2006-02-28,561.5999755859375,694.6120636443544
2006-03-31,581.7999877929688,699.2759701222379
2006-04-30,651.7999877929688,680.9339778193614
2006-05-31,642.5,615.0890177959283
2006-06-30,613.5,618.6560980036238
2006-07-31,634.2000122070312,645.7917695515304
2006-08-31,625.9000244140625,628.5733623877142
2006-09-30,598.5999755859375,634.9925096116784
2006-10-31,604.0999755859375,660.7568410972679
2006-11-30,646.9000244140625,657.4913082880488
2006-12-31,635.2000122070312,617.7504215527175
2007-01-31,652.0,625.6059263998798
2007-02-28,669.4000244140625,610.6406344547847
2007-03-31,663.0,593.4666383291885
2007-04-30,680.5,598.1273549661169
2007-05-31,661.0,582.2916309047814
2007-06-30,648.0999755859375,599.1866484182184
2007-07-31,666.9000244140625,612.3352530328026
2007-08-31,673.0,595.9001169765116
2007-09-30,742.7999877929688,589.0543695540671
2007-10-31,792.0,524.3239863629675
2007-11-30,782.2000122070312,474.0713295948697
2007-12-31,834.9000244140625,479.2845498382523
2008-01-31,922.7000122070312,431.1991743073183
2008-02-29,972.0999755859375,347.3597211633036
2008-03-31,916.2000122070312,295.4230341319646
2008-04-30,862.7999877929688,342.97735305930007
2008-05-31,887.2999877929688,395.6564046605296
2008-06-30,926.2000122070312,376.63815686639504
2008-07-31,913.9000244140625,339.5467907576489
2008-08-31,829.2999877929688,348.0398760080184
2008-09-30,874.2000122070312,427.2324731061294
2008-10-31,716.7999877929688,391.0939242428726
2008-11-30,816.2000122070312,535.2172900967714
2008-12-31,883.5999755859375,452.88986152792415
2009-01-31,927.2999877929688,384.62919584450407
2009-02-28,941.5,339.19246944761187
2009-03-31,922.5999755859375,322.6326844948918
2009-04-30,890.7000122070312,338.8270555771794
2009-05-31,978.7999877929688,369.45548712747745
2009-06-30,927.0999755859375,291.3427990855053
2009-07-31,953.7000122070312,332.5890762012057
2009-08-31,951.7000122070312,310.96072804240094
2009-09-30,1008.0,311.1767940032873
2009-10-31,1039.699951171875,259.92026729905524
2009-11-30,1181.0999755859375,227.0230236947933
2009-12-31,1095.199951171875,105.11329589138002
2010-01-31,1083.0,166.125311830021
2010-02-28,1118.300048828125,180.7467401176839
2010-03-31,1113.300048828125,150.26330746845338
2010-04-30,1180.0999755859375,152.2834326498501
2010-05-31,1212.199951171875,95.64012166073174
2010-06-30,1245.5,65.60382359163613
2010-07-31,1181.699951171875,44.731124463354696
2010-08-31,1248.300048828125,85.90048361911369
2010-09-30,1307.800048828125,46.39702376312531
2010-10-31,1357.0999755859375,60.91698560512822
2010-11-30,1385.0,101.970948177673
2010-12-31,1421.0999755859375,128.83385393937704
2011-01-31,1333.800048828125,163.0462001029339
2011-02-28,1409.300048828125,91.5607637204349
2011-03-31,1438.9000244140625,150.35571656907987
2011-04-30,1556.0,180.5833188018003
2011-05-31,1535.9000244140625,291.13233526510226
2011-06-30,1502.300048828125,279.0969330332458
2011-07-31,1628.300048828125,247.5788781341614
2011-08-31,1828.5,362.3144439295028
2011-09-30,1620.4000244140625,556.7206808713197
2011-10-31,1724.199951171875,379.3718900187932
2011-11-30,1745.5,459.49834222931327
2011-12-31,1565.800048828125,484.48336985671034
2012-01-31,1737.800048828125,323.7719609212581
2012-02-29,1709.9000244140625,469.2238045866769
2012-03-31,1669.300048828125,452.27464822652496
2012-04-30,1663.4000244140625,413.68536907415364
2012-05-31,1562.5999755859375,405.3165628139412
2012-06-30,1603.5,312.94350097566866
2012-07-31,1610.5,342.90798122323827
2012-08-31,1684.5999755859375,351.42866498376065
2012-09-30,1771.0999755859375,420.81326883843485
2012-10-31,1717.5,505.84554684848763
2012-11-30,1710.9000244140625,462.0797770738067
2012-12-31,1674.800048828125,452.66443287008184
2013-01-31,1660.5999755859375,418.7554402747097
2013-02-28,1577.699951171875,403.1167977351587
2013-03-31,1594.800048828125,326.2984307085516
2013-04-30,1472.199951171875,335.77199436243
2013-05-31,1392.5999755859375,226.19810005725327
2013-06-30,1223.800048828125,146.12707453314337
2013-07-31,1312.4000244140625,65.36764851810702
2013-08-31,1396.0999755859375,65.47590813326626
2013-09-30,1326.5,137.2288702150611
2013-10-31,1323.5999755859375,82.9483538639799
2013-11-30,1250.5999755859375,75.2947549132644
2013-12-31,1201.9000244140625,44.519676492539965
2014-01-31,1240.0999755859375,69.32479968589999
2014-02-28,1321.4000244140625,47.055691142737494
2014-03-31,1283.4000244140625,71.26773871714119
2014-04-30,1295.5999755859375,48.32087012578404
2014-05-31,1245.5999755859375,52.84263325533962
2014-06-30,1321.800048828125,43.46046687052605
2014-07-31,1281.300048828125,71.42032465201018
2014-08-31,1285.800048828125,47.44907008100717
2014-09-30,1210.5,47.30407595273862
2014-10-31,1171.0999755859375,62.921317728636936
2014-11-30,1175.199951171875,95.77296443724781
2014-12-31,1183.9000244140625,94.26429651331303
2015-01-31,1278.5,86.94789190871552
2015-02-28,1212.5999755859375,48.25463708047771
2015-03-31,1183.0999755859375,61.442522822472405
2015-04-30,1182.4000244140625,85.46675111299955
2015-05-31,1189.4000244140625,87.52491791248593
2015-06-30,1171.5,81.9674941703553
2015-07-31,1094.9000244140625,96.46695237108275
2015-08-31,1131.5999755859375,166.02275366383063
2015-09-30,1115.5,137.36431838663322
2015-10-31,1141.5,149.42001462720708
2015-11-30,1065.800048828125,127.34296792793356
2015-12-31,1060.300048828125,194.36662493440252
2016-01-31,1116.4000244140625,203.34702397230785
2016-02-29,1233.9000244140625,153.98302883817766
2016-03-31,1234.199951171875,62.05737320272311
2016-04-30,1289.199951171875,48.994235159334295
2016-05-31,1214.800048828125,49.17951797811754
2016-06-30,1318.4000244140625,59.924203143850775
2016-07-31,1349.0,69.6299924860958
2016-08-31,1306.9000244140625,95.34614807044176
2016-09-30,1313.300048828125,64.29929016211698
2016-10-31,1271.5,66.06368392752752
2016-11-30,1170.800048828125,43.694918387915024
2016-12-31,1150.0,95.25762610893834
2017-01-31,1208.5999755859375,115.9761804517975
2017-02-28,1252.5999755859375,70.3507957493799
2017-03-31,1247.300048828125,43.554283846864166
2017-04-30,1266.0999755859375,42.18800156161282
2017-05-31,1272.0,40.487322179067554
2017-06-30,1240.699951171875,41.504560868457055
2017-07-31,1266.5999755859375,44.372895284027074
