Date,Log Returns,"GARCH(1,1) Log Returns"
2004-01-31,0.020183327761340575,0.9220593978124537
2004-02-29,0.023939974115387064,1.070208833221552
2004-03-31,-0.01407137463551622,-0.5511217877822449
2004-04-30,-0.035777604227973714,-1.4692476528431644
2004-05-31,0.029914467818903057,1.263016563656278
2004-06-30,-0.006794231943431317,-0.23244344458071683
2004-07-31,0.0010380394098813417,0.08312984626494924
2004-08-31,-0.01081913259477807,-0.4054724166411235
2004-09-30,0.005712101245723633,0.27960814918693083
2004-10-31,0.013854768371942217,0.6239933636736907
2004-11-30,0.03816108591193268,1.6463496117245142
2004-12-31,0.0053228227668215,0.25474000460320767
2005-01-31,-0.018714519069926938,-0.7236737808182879
2005-02-28,0.01840747461444603,0.795309887958211
2005-03-31,-0.015596069974776028,-0.5981407141068459
2005-04-30,0.010523045081070492,0.4750452983286323
2005-05-31,-0.049271936268524,-2.0041960700685553
2005-06-30,-0.015189087390563683,-0.5525463456267028
2005-07-31,-0.018078529798552623,-0.6749723190846351
2005-08-31,0.025373666363152192,1.0524887002621828
2005-09-30,-0.02174514920141013,-0.8237358788187631
2005-10-31,0.0023672594855410622,0.13438893117066747
2005-11-30,-0.02164390653623005,-0.8372817661897778
2005-12-31,-0.005919436074110718,-0.19956597989390426
2006-01-31,0.03309726778288935,1.402900829694903
2006-02-28,-0.013812808686761602,-0.5135748439662032
2006-03-31,-0.00944542708094498,-0.3422646759164031
2006-04-30,0.0495506673402466,2.0745347090552237
2006-05-31,0.024678883545279695,0.9853765910215034
2006-06-30,-0.012147546681518517,-0.4292186914638252
2006-07-31,0.010333822087898903,0.44489855873707623
2006-08-31,0.018497149865496887,0.7774358464431244
2006-09-30,-0.016627249160645508,-0.6262019493135678
2006-10-31,0.019352369145223647,0.8227821023407126
2006-11-30,0.030005126654532588,1.2553761493620814
2006-12-31,-0.003670520996036486,-0.10631128773124482
2007-01-31,0.0021378360270761787,0.12727559924511947
2007-02-28,0.0003142149699383312,0.0541276702722734
2007-03-31,-0.005874809176221296,-0.2028003530981055
2007-04-30,0.024029014401382054,1.0516133380397483
2007-05-31,-0.010148347550380965,-0.3792780431961774
2007-06-30,0.014296915883022954,0.6394890266196981
2007-07-31,0.010437321848498105,0.47880359873687245
2007-08-31,-0.006029399938700886,-0.21139430204879123
2007-09-30,0.01428239299072942,0.6475704288220727
2007-10-31,0.0162762186678167,0.7311768526500025
2007-11-30,-0.011168224407148819,-0.4288101968600783
2007-12-31,-0.034664241858458844,-1.4258852910982298
2008-01-31,0.0020084953397686567,0.12354558567895167
2008-02-29,-0.0020084953397686567,-0.04180210120411849
2008-03-31,-0.0012110616972050847,-0.008766455350417866
2008-04-30,0.0018072273464474486,0.11896863129158325
2008-05-31,-0.0025213420620988636,-0.06477264551488554
2008-06-30,0.0051287007257289075,0.2629521752929598
2008-07-31,-0.004970051319392099,-0.1707792451852664
2008-08-31,-0.08484252269704728,-3.621889725121396
2008-09-30,-0.02203590237812303,-0.7401746173205535
2008-10-31,-0.10322693384901105,-3.6841860495481353
2008-11-30,-0.04374423480729511,-1.2705978471947459
2008-12-31,-0.048542464113377426,-1.4418000786170668
2009-01-31,-0.006369789228171052,-0.16423283183589424
2009-02-28,-0.020183228776764928,-0.6173861379975152
2009-03-31,0.005093890282162006,0.20377447570900406
2009-04-30,0.03042468798666481,1.09416091677024
2009-05-31,0.09038606780208575,3.2201777103261136
2009-06-30,0.017142405136371885,0.5525841023105803
2009-07-31,0.014363022978489515,0.48953865519833845
2009-08-31,-0.02504212879377704,-0.798680357100101
2009-09-30,-0.01795452180279139,-0.5797183705165487
2009-10-31,0.027481619350125774,1.0055298061722646
2009-11-30,0.0006088377296483705,0.05767793422988712
2009-12-31,-0.016906676566950607,-0.5884619014462669
2010-01-31,-0.012255387341590873,-0.4253581919129563
2010-02-28,-0.047785606230728916,-1.807202516680644
2010-03-31,-0.0036354413244042982,-0.09767254708744781
2010-04-30,0.0076359801892672,0.32949649537687303
2010-05-31,-0.052194784279348705,-1.9958824115275633
2010-06-30,0.02866688214419888,1.0952632459702942
2010-07-31,0.04856376581888783,1.8380584779366809
2010-08-31,-0.01425248008707175,-0.4733342082092782
2010-09-30,0.021100157725537028,0.8124851595961722
2010-10-31,-0.0013732710813372795,-0.01385766073265555
2010-11-30,-0.01391031555567035,-0.49537329296410637
2010-12-31,-0.007686234368662337,-0.2612194101299307
2011-01-31,0.02508870672788438,1.0392700076003443
2011-02-28,0.016985748511670784,0.7136419109828607
2011-03-31,-0.0016409070817826055,-0.025537693410481198
2011-04-30,0.035203871673334,1.4722727377691478
2011-05-31,-0.009792007830495941,-0.3476257994217458
2011-06-30,-0.025299291524459866,-0.9765428285802595
2011-07-31,0.018038058168847904,0.7630229393689291
2011-08-31,-0.003725044493306795,-0.10964150371633781
2011-09-30,-0.04439993578063334,-1.7747425838854358
2011-10-31,0.03232394723656207,1.300926192394888
2011-11-30,-0.03241764145523113,-1.2107261183815217
2011-12-31,-0.011738382611974574,-0.41103219030686017
2012-01-31,0.018797967459107612,0.7734381782624903
2012-02-29,0.013505806344783933,0.5715186507892177
2012-03-31,0.002327262464973834,0.13282116758596213
2012-04-30,0.019987813641291985,0.8515679590371479
2012-05-31,-0.05027754363639808,-1.9992115759393831
2012-06-30,0.0022784945467291817,0.12531868507267255
2012-07-31,0.012492372100692872,0.5277676266220401
2012-08-31,0.00488308231441581,0.233572953443337
2012-09-30,0.027648558872548856,1.156476668864758
2012-10-31,-0.009805201489515747,-0.35143507861204326
