Date,USDJPY=X,"GARCH(1,1) Volatility"
2000-01-09,105.33000183105469,
2000-01-16,105.87999725341797,0.01423053014332467
2000-01-23,104.72000122070312,0.01351804940950911
2000-01-30,107.05999755859375,0.013309177847174697
2000-02-06,107.18000030517578,0.01441326282200446
2000-02-13,108.80000305175781,0.013584440056339802
2000-02-20,110.8499984741211,0.013699527071472567
2000-02-27,110.1500015258789,0.014224967636592098
2000-03-05,107.68000030517578,0.01358209659115552
2000-03-12,106.22000122070312,0.014778001452958376
2000-03-19,106.66000366210938,0.014569978218357638
2000-03-26,106.98999786376953,0.013769800643593944
2000-04-02,102.95999908447266,0.013067600515433944
2000-04-09,105.44999694824219,0.017440372447144054
2000-04-16,104.76000213623047,0.01781982761864543
2000-04-23,105.80000305175781,0.016641468269786724
2000-04-30,108.1500015258789,0.015782930158229465
2000-05-07,108.58000183105469,0.01627101964739153
2000-05-14,108.31999969482422,0.015213502062171914
2000-05-21,106.91000366210938,0.014287205995908157
2000-05-28,107.11000061035156,0.014120078853914735
2000-06-04,107.94999694824219,0.013342862014547808
2000-06-11,106.8499984741211,0.012900393634623947
2000-06-18,106.3499984741211,0.012743509168190075
2000-06-25,104.61000061035156,0.012272660638060883
2000-07-02,106.01000213623047,0.012914436010698506
2000-07-09,107.87999725341797,0.012989433284552902
2000-07-16,107.80999755859375,0.013526931312345307
2000-07-23,108.97000122070312,0.0128346531891848
2000-07-30,109.62999725341797,0.012688103910478789
2000-08-06,108.58000183105469,0.012264383702027537
2000-08-13,108.45999908447266,0.0121792628083486
2000-08-20,108.2699966430664,0.011709652454562871
2000-08-27,106.80000305175781,0.011329511469786413
2000-09-03,105.94999694824219,0.011845295264310543
2000-09-10,106.11000061035156,0.01171729910600797
2000-09-17,107.26000213623047,0.01132531168456906
2000-09-24,108.0,0.011488156364798496
2000-10-01,108.12999725341797,0.011324622771828215
2000-10-08,108.7300033569336,0.01099800687753344
2000-10-15,107.69999694824219,0.010854954816635752
2000-10-22,108.83000183105469,0.011048039511396148
2000-10-29,108.52999877929688,0.011238589884010643
2000-11-05,106.94999694824219,0.010964185329444955
2000-11-12,107.83000183105469,0.011690316462600424
2000-11-19,108.77999877929688,0.011572354695686437
2000-11-26,111.2300033569336,0.011518464518067584
2000-12-03,111.19000244140625,0.01315050591754583
2000-12-10,110.9000015258789,0.012516045591507532
2000-12-17,112.41999816894531,0.012016760761780616
2000-12-24,112.80000305175781,0.012315159339322918
2000-12-31,114.37999725341797,0.01185653283624472
2001-01-07,116.44999694824219,0.012223164947915062
2001-01-14,118.47000122070312,0.013003589098676955
2001-01-21,117.12999725341797,0.013501355553174308
2001-01-28,117.31999969482422,0.01332647893726483
2001-02-04,115.62999725341797,0.012670129633525578
2001-02-11,117.5,0.012979123646514252
2001-02-18,115.72000122070312,0.013341489071554235
2001-02-25,115.75,0.013590913956079309
2001-03-04,119.05000305175781,0.012885525620630193
2001-03-11,119.54000091552734,0.015124689364684784
2001-03-18,122.91999816894531,0.014239541314152584
2001-03-25,122.83000183105469,0.01602721363198954
2001-04-01,126.2300033569336,0.014961913297932441
2001-04-08,123.7300033569336,0.016449427516071074
2001-04-15,123.5,0.01660506398818007
2001-04-22,122.33000183105469,0.015469051736009884
2001-04-29,124.0199966430664,0.014806402992936164
2001-05-06,121.27999877929688,0.01455381468705183
2001-05-13,122.37000274658203,0.015450627942445146
2001-05-20,123.51000213623047,0.014724807854069726
2001-05-27,120.58999633789062,0.014137740007598768
2001-06-03,119.20999908447266,0.015381209688923458
2001-06-10,120.8499984741211,0.014877667432233807
2001-06-17,122.87000274658203,0.014606589515440551
2001-06-24,124.45999908447266,0.014684234518563698
2001-07-01,124.5,0.01437635234959992
2001-07-08,125.81999969482422,0.013550299030641377
2001-07-15,124.86000061035156,0.013257853215356436
2001-07-22,122.86000061035156,0.012850209626345614
2001-07-29,123.45999908447266,0.013312961671922705
2001-08-05,123.5999984741211,0.012735641637523559
2001-08-12,121.94999694824219,0.012169751923682384
2001-08-19,120.19000244140625,0.012468778279140147
2001-08-26,119.9800033569336,0.01282533642529387
2001-09-02,118.75,0.012257839392023394
2001-09-09,120.0,0.012230945743933718
2001-09-16,117.31999969482422,0.01218213556247984
2001-09-23,116.58999633789062,0.013751726840956142
2001-09-30,119.4800033569336,0.013181805652243942
2001-10-07,120.47000122070312,0.014698404542927647
2001-10-14,121.22000122070312,0.014053981365315412
2001-10-21,121.16999816894531,0.013410207392245717
2001-10-28,122.6500015258789,0.012734847488588396
2001-11-04,121.62000274658203,0.01273425653742945
2001-11-11,120.22000122070312,0.012470919412354063
2001-11-18,122.87000274658203,0.01251638526628131
2001-11-25,124.27999877929688,0.013786898884026112
2001-12-02,123.44999694824219,0.01352032376542465
2001-12-09,125.48999786376953,0.013012605169668248
2001-12-16,127.37000274658203,0.013408948077956754
2001-12-23,129.5,0.013546251996809547
2001-12-30,131.0500030517578,0.013848142540560812
2002-01-06,131.02000427246094,0.013611267851494867
2002-01-13,132.14999389648438,0.012903564722221584
2002-01-20,132.6199951171875,0.012586925045872999
2002-01-27,134.5500030517578,0.01208737112257664
2002-02-03,133.10000610351562,0.012463045757387997
2002-02-10,134.6699981689453,0.012441928310143787
2002-02-17,132.58999633789062,0.012461708788303518
2002-02-24,134.11000061035156,0.012941955557759333
2002-03-03,133.32000732421875,0.01283378884609447
2002-03-10,128.6199951171875,0.012402226685402353
2002-03-17,129.00999450683594,0.016488798225373382
2002-03-24,132.89999389648438,0.01538005154938516
2002-03-31,132.6999969482422,0.01715559575967403
