Date,Gold Spot Price,"GARCH(1,1) Volatility"
2000-09-03,277.0,808.7845550474187
2000-09-10,273.29998779296875,974.0800343312224
2000-09-17,272.29998779296875,977.7631102414539
2000-09-24,271.79998779296875,978.7585341786605
2000-10-01,273.6000061035156,979.256246353553
2000-10-08,269.29998779296875,977.4644649410103
2000-10-15,272.3999938964844,981.7448092825408
2000-10-22,271.20001220703125,978.6589856845832
2000-10-29,264.3999938964844,979.8534768422076
2000-11-05,264.6000061035156,986.6223964015174
2000-11-12,264.5,986.4232985601866
2000-11-19,265.70001220703125,986.5228474781669
2000-11-26,266.29998779296875,985.328321573386
2000-12-03,268.70001220703125,984.7310892898672
2000-12-10,272.20001220703125,982.3420405907643
2000-12-17,270.3999938964844,978.8580523002989
2000-12-24,273.70001220703125,980.6498350971436
2000-12-31,272.0,977.3649165185684
2001-01-07,268.0,979.0571493159382
2001-01-14,263.8999938964844,983.0388512017662
2001-01-21,264.29998779296875,987.120110720689
2001-01-28,262.79998779296875,986.7219453302364
2001-02-04,267.1000061035156,988.2150887698543
2001-02-11,259.8999938964844,983.9347292508407
2001-02-18,258.20001220703125,991.1018300808395
2001-02-25,260.8999938964844,992.7940451535652
2001-03-04,262.1000061035156,990.1063994424914
2001-03-11,270.79998779296875,988.9118712264722
2001-03-18,258.1000061035156,980.2516711148689
2001-03-25,261.5,992.8935944119615
2001-04-01,257.8999938964844,989.5091352387022
2001-04-08,260.0,993.0926929445546
2001-04-15,260.1000061035156,991.0022809175215
2001-04-22,264.79998779296875,990.9027317595011
2001-04-29,263.8999938964844,986.2242311184032
2001-05-06,266.1000061035156,987.120110720689
2001-05-13,267.8999938964844,984.9301565701177
2001-05-20,287.3999938964844,983.138399936203
2001-05-27,277.8999938964844,963.7276861562779
2001-06-03,266.3999938964844,973.1841611842889
2001-06-10,273.3999938964844,984.6315404688207
2001-06-17,271.20001220703125,977.6635618024548
2001-06-24,272.29998779296875,979.8534768422076
2001-07-01,270.6000061035156,978.7585341786605
2001-07-08,265.8999938964844,980.4507379060847
2001-07-15,267.1000061035156,985.129254249989
2001-07-22,269.8999938964844,983.9347292508407
2001-07-29,267.3999938964844,981.147547792461
2001-08-05,267.8999938964844,983.6361133117226
2001-08-12,273.8999938964844,983.138399936203
2001-08-19,279.29998779296875,977.1658500681631
2001-08-26,272.5,971.7905782591563
2001-09-02,274.3999938964844,978.5594371960063
2001-09-09,273.1000061035156,976.6681384720008
2001-09-16,290.20001220703125,977.962176758075
2001-09-23,291.8999938964844,960.9405061925386
2001-09-30,292.3999938964844,959.2483212984254
2001-10-07,291.3999938964844,958.7506148190564
2001-10-14,284.8999938964844,959.7460279238094
2001-10-21,280.1000061035156,966.2162272385077
2001-10-28,277.8999938964844,970.9942239546701
2001-11-04,279.79998779296875,973.1841611842889
2001-11-11,277.3999938964844,971.2928681683425
2001-11-18,274.70001220703125,973.6818718076055
2001-11-25,272.8999938964844,976.3694933539558
