,Risk Premium
Consumer Confidence,-0.04524525255877803
High Yield Spread,-0.04149217799705037
Job Openings,-0.0393726366274215
VVIX,-0.03275846221127316
Recession Probabilities,13.002819449021626
risk free rate,-0.03502422769942659
