Date,GC=F,"GARCH(1,1) Volatility"
2000-08-31,278.29998779296875,
2000-09-30,273.6000061035156,0.034357070874352615
2000-10-31,264.8999938964844,0.03449580256783998
2000-11-30,270.1000061035156,0.03624013792498572
2000-12-31,272.0,0.03536225785695247
2001-01-31,265.6000061035156,0.034342344812897635
2001-02-28,266.79998779296875,0.035120472663790224
2001-03-31,257.8999938964844,0.034147868654007256
2001-04-30,264.0,0.0361879254706357
2001-05-31,265.29998779296875,0.03552031089112387
2001-06-30,270.6000061035156,0.034477814039300524
2001-07-31,266.20001220703125,0.03392479292447562
2001-08-31,274.3999938964844,0.0340956843222152
2001-09-30,292.3999938964844,0.03431208194438549
2001-10-31,279.5,0.03892670957515064
2001-11-30,273.8999938964844,0.041433843043246106
2001-12-31,278.70001220703125,0.0405318714662834
2002-01-31,282.1000061035156,0.03886759594677939
2002-02-28,296.70001220703125,0.037328540533904525
2002-03-31,302.6000061035156,0.03910898075933068
2002-04-30,308.8999938964844,0.037761296957992886
2002-05-31,326.5,0.036677765714377766
2002-06-30,313.5,0.03932498106191693
2002-07-31,303.20001220703125,0.041086652204407305
2002-08-31,312.3999938964844,0.041547824905700914
2002-09-30,323.8999938964844,0.0403751382899068
2002-10-31,318.0,0.039910573602605616
2002-11-30,316.79998779296875,0.039129282167735153
2002-12-31,347.6000061035156,0.03766805535047503
2003-01-31,368.29998779296875,0.0471102808630586
2003-02-28,350.20001220703125,0.047772833189158835
2003-03-31,335.8999938964844,0.04904921076042016
2003-04-30,339.1000061035156,0.048935050689374586
2003-05-31,364.5,0.045877714727846006
2003-06-30,346.0,0.048930197075482615
2003-07-31,354.0,0.05019958151381191
2003-08-31,375.70001220703125,0.04730181684216555
2003-09-30,385.3999938964844,0.04814291792130833
2003-10-31,384.5,0.045665819816799645
2003-11-30,396.79998779296875,0.04316603551820851
2003-12-31,415.70001220703125,0.0418363420881014
2004-01-31,402.20001220703125,0.04216326553911053
2004-02-29,396.3999938964844,0.04236562855612296
2004-03-31,427.29998779296875,0.040899685133960126
2004-04-30,387.0,0.04573124651367239
2004-05-31,394.0,0.056670226184170044
2004-06-30,392.6000061035156,0.05272068292776225
2004-07-31,391.0,0.049263064259024915
2004-08-31,410.3999938964844,0.04629571098154608
2004-09-30,418.70001220703125,0.045979158233426826
2004-10-31,428.5,0.04358034928436563
2004-11-30,451.29998779296875,0.041678446256229254
2004-12-31,437.5,0.04268647474939726
2005-01-31,421.79998779296875,0.04257209929745671
2005-02-28,436.5,0.04310713604767537
2005-03-31,428.70001220703125,0.0419989016654513
2005-04-30,435.0,0.04083105156405238
2005-05-31,416.29998779296875,0.039037701422826435
2005-06-30,435.8999938964844,0.04134158780800277
2005-07-31,429.8999938964844,0.04170643207387962
2005-08-31,433.79998779296875,0.040307184585124084
2005-09-30,469.0,0.03850235663547461
2005-10-31,465.1000061035156,0.044585403644003554
2005-11-30,494.6000061035156,0.04244783387041296
2005-12-31,517.0999755859375,0.044632532977737206
2006-01-31,570.7999877929688,0.044200662683168274
2006-02-28,561.5999755859375,0.0527446033148377
2006-03-31,581.7999877929688,0.04979379657495538
2006-04-30,651.7999877929688,0.04767778546499579
2006-05-31,642.5,0.058297845504547786
2006-06-30,613.5,0.054476079230705514
2006-07-31,634.2000122070312,0.053884778243830644
2006-08-31,625.9000244140625,0.05100303834362015
2006-09-30,598.5999755859375,0.04814164102843397
2006-10-31,604.0999755859375,0.048563464228411235
2006-11-30,646.9000244140625,0.045555097823997664
2006-12-31,635.2000122070312,0.048080540479940426
2007-01-31,652.0,0.04594636847766763
2007-02-28,669.4000244140625,0.04383242787039655
2007-03-31,663.0,0.04206035995970239
2007-04-30,680.5,0.040370683565483456
2007-05-31,661.0,0.03914370004053911
2007-06-30,648.0999755859375,0.03950425970720122
2007-07-31,666.9000244140625,0.03890056494426629
2007-08-31,673.0,0.03809121820116951
2007-09-30,742.7999877929688,0.036635079339681104
2007-10-31,792.0,0.04780391559741238
2007-11-30,782.2000122070312,0.04917981730093681
2007-12-31,834.9000244140625,0.04654747929466503
2008-01-31,922.7000122070312,0.04835241957147709
2008-02-29,972.0999755859375,0.055850307882777415
2008-03-31,916.2000122070312,0.054241991459680935
2008-04-30,862.7999877929688,0.055411485680928754
2008-05-31,887.2999877929688,0.05645641613470479
2008-06-30,926.2000122070312,0.052917053343799064
2008-07-31,913.9000244140625,0.050914673156580915
2008-08-31,829.2999877929688,0.048075767515070075
2008-09-30,874.2000122070312,0.05779587275977501
2008-10-31,716.7999877929688,0.05592143962507636
2008-11-30,816.2000122070312,0.08830843605923176
2008-12-31,883.5999755859375,0.09119782068256999
2009-01-31,927.2999877929688,0.08679017927985581
2009-02-28,941.5,0.08041338896808428
2009-03-31,922.5999755859375,0.0734998954604529
2009-04-30,890.7000122070312,0.06797387898716156
2009-05-31,978.7999877929688,0.06413108605846415
2009-06-30,927.0999755859375,0.06654475423858584
2009-07-31,953.7000122070312,0.06476718159167781
2009-08-31,951.7000122070312,0.06013000518257303
2009-09-30,1008.0,0.0556689856528872
2009-10-31,1039.699951171875,0.05466505162671101
2009-11-30,1181.0999755859375,0.05153586239326431
2009-12-31,1095.199951171875,0.06397630033823491
2010-01-31,1083.0,0.06551484150110513
2010-02-28,1118.300048828125,0.0606191126762236
2010-03-31,1113.300048828125,0.056720541395870544
2010-04-30,1180.0999755859375,0.05275267415116615
2010-05-31,1212.199951171875,0.052371471010421916
2010-06-30,1245.5,0.049347412083580594
2010-07-31,1181.699951171875,0.046775742111119685
