Date,GC=F,"GARCH(1,1) Volatility"
2000-09-03,277.0,
2000-09-10,273.29998779296875,0.015380677522820747
2000-09-17,272.29998779296875,0.015555196313515452
2000-09-24,271.79998779296875,0.015409231808795505
2000-10-01,273.6000061035156,0.015248601076901585
2000-10-08,269.29998779296875,0.015130751338499475
2000-10-15,272.3999938964844,0.015448784426284569
2000-10-22,271.20001220703125,0.015441666918174574
2000-10-29,264.3999938964844,0.015315497872357657
2000-11-05,264.6000061035156,0.016270568597286605
2000-11-12,264.5,0.016045029055109856
2000-11-19,265.70001220703125,0.015836029336864278
2000-11-26,266.29998779296875,0.015652920707533755
2000-12-03,268.70001220703125,0.015464607101247831
2000-12-10,272.20001220703125,0.01538411972979534
2000-12-17,270.3999938964844,0.0154348928112746
2000-12-24,273.70001220703125,0.015357801512969968
2000-12-31,272.0,0.015380631399596036
2001-01-07,268.0,0.015297019606958057
2001-01-14,263.8999938964844,0.01554586125538932
2001-01-21,264.29998779296875,0.01580481434391278
2001-01-28,262.79998779296875,0.015605971902988939
2001-02-04,267.1000061035156,0.015495353512098207
2001-02-11,259.8999938964844,0.01567903331219461
2001-02-18,258.20001220703125,0.016749166055446935
2001-02-25,260.8999938964844,0.016587309466521573
2001-03-04,262.1000061035156,0.016472629913048188
2001-03-11,270.79998779296875,0.01625301939771046
2001-03-18,258.1000061035156,0.017503572706411355
2001-03-25,261.5,0.02042862415214623
2001-04-01,257.8999938964844,0.020159368534629008
2001-04-08,260.0,0.020012712218567874
2001-04-15,260.1000061035156,0.019648929200480992
2001-04-22,264.79998779296875,0.01924338506745769
2001-04-29,263.8999938964844,0.01922420504678504
2001-05-06,266.1000061035156,0.018867451609928438
2001-05-13,267.8999938964844,0.01856903149850256
2001-05-20,287.3999938964844,0.018260163179834706
2001-05-27,277.8999938964844,0.0236598198624162
2001-06-03,266.3999938964844,0.024339016747116252
2001-06-10,273.3999938964844,0.02562316965366521
2001-06-17,271.20001220703125,0.02554171784278718
2001-06-24,272.29998779296875,0.02494407236985414
2001-07-01,270.6000061035156,0.024295129286502008
2001-07-08,265.8999938964844,0.023725852204319383
2001-07-15,267.1000061035156,0.02349959624467971
2001-07-22,269.8999938964844,0.022919935311941877
2001-07-29,267.3999938964844,0.022450304527903257
2001-08-05,267.8999938964844,0.022033106459258822
2001-08-12,273.8999938964844,0.021510640779989994
2001-08-19,279.29998779296875,0.021528520530740503
2001-08-26,272.5,0.021425130304182607
2001-09-02,274.3999938964844,0.021714309440347024
2001-09-09,273.1000061035156,0.021245467483020083
2001-09-16,290.20001220703125,0.020802757632435148
2001-09-23,291.8999938964844,0.02430804240234018
2001-09-30,292.3999938964844,0.02370222481657591
2001-10-07,291.3999938964844,0.023101607526629913
2001-10-14,284.8999938964844,0.02255214443956889
2001-10-21,280.1000061035156,0.022636669346439944
2001-10-28,277.8999938964844,0.022456538160227846
2001-11-04,279.79998779296875,0.022007434406401485
2001-11-11,277.3999938964844,0.021522334174225284
2001-11-18,274.70001220703125,0.02113790585842379
2001-11-25,272.8999938964844,0.020803203286093724
2001-12-02,273.8999938964844,0.02041356783900075
2001-12-09,273.8999938964844,0.019976566431917326
2001-12-16,278.0,0.019555539361245003
2001-12-23,278.0,0.01939587958411947
2001-12-30,276.5,0.019004181540166337
2002-01-06,278.8999938964844,0.01868912298314836
2002-01-13,287.3999938964844,0.018407300702744565
2002-01-20,283.1000061035156,0.019180043234789446
2002-01-27,278.79998779296875,0.019146346209151604
2002-02-03,286.0,0.019124849841285117
2002-02-10,303.5,0.019516666502579483
2002-02-17,298.3999938964844,0.023124876989372378
2002-02-24,293.20001220703125,0.0229126533222586
2002-03-03,298.0,0.02273923856689501
2002-03-10,290.1000061035156,0.022436458570718316
2002-03-17,289.8999938964844,0.022775934955362433
2002-03-24,297.29998779296875,0.02222195055308098
2002-03-31,302.6000061035156,0.02234443771169044
2002-04-07,300.1000061035156,0.022115584623708388
2002-04-14,302.1000061035156,0.021692785596274328
2002-04-21,302.29998779296875,0.02122097692273192
2002-04-28,311.6000061035156,0.020737268362553043
2002-05-05,312.20001220703125,0.02129537298988202
2002-05-12,311.0,0.020808355017028053
2002-05-19,310.6000061035156,0.020375665884656606
2002-05-26,320.3999938964844,0.0199407000314202
2002-06-02,326.5,0.020630405265946065
2002-06-09,324.6000061035156,0.020558042355208025
2002-06-16,319.1000061035156,0.020167752992716965
2002-06-23,324.6000061035156,0.020154465819649293
2002-06-30,313.5,0.0200402720530972
2002-07-07,310.8999938964844,0.021200981892721054
2002-07-14,315.6000061035156,0.020827083158183463
2002-07-21,323.8999938964844,0.020594887502225014
2002-07-28,303.3999938964844,0.02088850282076303
2002-08-04,307.0,0.02527103356252761
2002-08-11,314.20001220703125,0.02471295618399394
2002-08-18,313.70001220703125,0.024562963894545826
2002-08-25,306.70001220703125,0.02393097220241978
2002-09-01,312.3999938964844,0.02391730837463382
2002-09-08,319.8999938964844,0.023622340893060388
2002-09-15,316.6000061035156,0.023569595923399807
2002-09-22,321.8999938964844,0.02311989655774588
2002-09-29,319.70001220703125,0.02280746470357019
2002-10-06,322.1000061035156,0.022320785865488746
2002-10-13,316.29998779296875,0.02182940934508498
2002-10-20,312.70001220703125,0.02175158869503883
2002-10-27,313.3999938964844,0.021429326525183385
2002-11-03,318.79998779296875,0.0209365014190454
2002-11-10,321.29998779296875,0.020772228372987128
2002-11-17,320.70001220703125,0.020363785044624765
2002-11-24,320.70001220703125,0.019933463551332166
2002-12-01,316.79998779296875,0.019514596662915547
