,0
2007-01-31,0.03502422769942659
2007-02-28,0.035090577594341976
2007-03-31,0.0347229389606214
2007-04-30,0.03434851543083384
2007-05-31,0.03368504069886136
2007-06-30,0.033967049256597104
2007-07-31,0.034451318275022125
2007-08-31,0.031074458336149524
2007-09-30,0.030292226360654206
2007-10-31,0.030789777911027105
2007-11-30,0.02740923395236461
2007-12-31,0.028401355108559345
2008-01-31,0.02082117531485239
2008-02-29,0.02006763341956397
2008-03-31,0.016649811989728702
2008-04-30,0.01705978297378108
2008-05-31,0.02034494335899284
2008-06-30,0.02048217005527686
2008-07-31,0.01891825634538913
2008-08-31,0.019211855915977738
2008-09-30,0.01241983743939401
2008-10-31,0.007037011789559511
2008-11-30,0.00019137082546771822
2008-12-31,0.0020089385902342105
2009-01-31,0.0041453254915753135
2009-02-28,0.0044543474160108065
2009-03-31,0.0036725033212918756
2009-04-30,0.0025229515763818267
2009-05-31,0.0025229515763818267
2009-06-30,0.0033508575192937595
2009-07-31,0.0031880409985221014
2009-08-31,0.0026913448445793353
2009-09-30,0.0025229515763818267
2009-10-31,0.0009387127031117437
2009-11-30,0.00112118398282135
2009-12-31,0.00112118398282135
2010-01-31,0.0014811157920018303
2010-02-28,0.0023531033029595694
2010-03-31,0.0028583080627446744
2010-04-30,0.0028583080627446744
2010-05-31,0.0028583080627446744
2010-06-30,0.0031880409985221014
2010-07-31,0.0026913448445793353
2010-08-31,0.0025229515763818267
2010-09-30,0.0028583080627446744
2010-10-31,0.0021817744079537515
2010-11-30,0.0030238655474974507
2010-12-31,0.0021817744079537515
2011-01-31,0.0026913448445793353
2011-02-28,0.0026913448445793353
2011-03-31,0.0016586374091545064
2011-04-30,0.000754528997614079
2011-05-31,0.00112118398282135
2011-06-30,0.000568600096428673
2011-07-31,0.0018345688392329418
2011-08-31,0.00038089227674453774
2011-09-30,0.00038089227674453774
2011-10-31,0.00019137082546771822
2011-11-30,0.00019137082546771822
2011-12-31,0.00038089227674453774
2012-01-31,0.00112118398282135
2012-02-29,0.0014811157920018303
2012-03-31,0.0013019746893534467
2012-04-30,0.0018345688392329418
2012-05-31,0.0013019746893534467
2012-06-30,0.0016586374091545064
2012-07-31,0.0020089385902342105
2012-08-31,0.0016586374091545064
2012-09-30,0.0018345688392329418
2012-10-31,0.0020089385902342105
2012-11-30,0.0014811157920018303
2012-12-31,0.0009387127031117437
2013-01-31,0.0013019746893534467
2013-02-28,0.0020089385902342105
2013-03-31,0.0013019746893534467
2013-04-30,0.0009387127031117437
2013-05-31,0.000754528997614079
2013-06-30,0.000754528997614079
2013-07-31,0.000754528997614079
2013-08-31,0.000568600096428673
2013-09-30,0.00038089227674453774
2013-10-31,0.000754528997614079
2013-11-30,0.00112118398282135
2013-12-31,0.0013019746893534467
2014-01-31,0.00038089227674453774
2014-02-28,0.0009387127031117437
2014-03-31,0.0009387127031117437
2014-04-30,0.000568600096428673
2014-05-31,0.000754528997614079
2014-06-30,0.000754528997614079
2014-07-31,0.000568600096428673
2014-08-31,0.000568600096428673
2014-09-30,0.00038089227674453774
2014-10-31,0.00019137082546771822
2014-11-30,0.00038089227674453774
2014-12-31,0.000754528997614079
2015-01-31,0.00038089227674453774
2015-02-28,0.00038089227674453774
2015-03-31,0.000568600096428673
2015-04-30,0.00019137082546771822
2015-05-31,0.00019137082546771822
2015-06-30,0.00019137082546771822
2015-07-31,0.0014811157920018303
2015-08-31,0.0014811157920018303
2015-09-30,-0.00019325701294758968
2015-10-31,0.0014811157920018303
2015-11-30,0.003831376003126774
2015-12-31,0.0028583080627446744
2016-01-31,0.005353350101356291
2016-02-29,0.005499276238344786
2016-03-31,0.0036725033212918756
2016-04-30,0.003831376003126774
2016-05-31,0.005644130229037536
2016-06-30,0.0044543474160108065
2016-07-31,0.004607058868192571
2016-08-31,0.005499276238344786
2016-09-30,0.004758595516092257
2016-10-31,0.005644130229037536
2016-11-30,0.0075677627793730995
2016-12-31,0.007827884862117163
2017-01-31,0.008084627344694173
2017-02-28,0.008211758719748774
2017-03-31,0.010819958992701828
2017-04-30,0.011259369110193429
2017-05-31,0.013025340110280892
2017-06-30,0.013516196692734406
2017-07-31,0.013900335023376842
2017-08-31,0.013321306847748016
2017-09-30,0.013804994165363516
2017-10-31,0.014647039115083693
2017-11-30,0.015717045505649008
2017-12-31,0.016732483372221107
2018-01-31,0.017301779900776193
2018-02-28,0.01876982264630156
2018-03-31,0.01928458671306177
2018-04-30,0.020275975432165527
2018-05-31,0.020618462044583286
2018-06-30,0.020618462044583286
2018-07-31,0.02128633934170665
2018-08-31,0.021805052224814547
2018-09-30,0.022310673894629485
2018-10-31,0.023165940956007658
2018-11-30,0.02334456232369675
2018-12-31,0.023813256119695536
2019-01-31,0.023580277350906842
2019-02-28,0.023813256119695536
2019-03-31,0.023521607644383824
2019-04-30,0.02369710475268838
2019-05-31,0.023225658277397088
2019-06-30,0.02186895703437397
2019-07-31,0.021612105582535568
2019-08-31,0.02102185616951302
2019-09-30,0.020275975432165527
2019-10-31,0.017855278300666022
2019-11-30,0.018241441763761745
2019-12-31,0.017933110961255494
2020-01-31,0.017933110961255494
2020-02-29,0.015717045505649008
2020-03-31,0.0020089385902342105
2020-04-30,0.0016586374091545064
2020-05-31,0.0025229515763818267
2020-06-30,0.0028583080627446744
2020-07-31,0.0016586374091545064
2020-08-31,0.0020089385902342105
2020-09-30,0.0018345688392329418
2020-10-31,0.0016586374091545064
2020-11-30,0.0014811157920018303
2020-12-31,0.0016586374091545064
2021-01-31,0.00112118398282135
