Date,GBPUSD=X,"GARCH(1,1) Volatility"
2003-12-01,1.7185969352722168,
2003-12-02,1.7303134202957153,0.005306217371347197
2003-12-03,1.7281005382537842,0.00540992717809038
2003-12-04,1.7206965684890747,0.005293675544002525
2003-12-05,1.7331022024154663,0.005261788325155036
2003-12-08,1.7342143058776855,0.005394936071715575
2003-12-09,1.7454140186309814,0.00527478304269181
2003-12-10,1.7397961616516113,0.005359058974020216
2003-12-11,1.7462064027786255,0.005285725134493351
2003-12-12,1.747304916381836,0.005235805039097546
2003-12-15,1.747304916381836,0.005123396609245305
2003-12-16,1.7542012929916382,0.0050142245772882565
2003-12-17,1.7655055522918701,0.00499141081045356
2003-12-18,1.7710086107254028,0.005099507428597018
2003-12-19,1.7651938199996948,0.005041774760124107
2003-12-22,1.7642908096313477,0.00498904676773491
2003-12-23,1.7641974687576294,0.004887613496914572
2003-12-24,1.775599718093872,0.004790308196533134
2003-12-25,1.775410532951355,0.004918112474038803
2003-12-26,1.7720128297805786,0.0048192600544419316
2003-12-29,1.7744970321655273,0.004743566759314932
2003-12-30,1.777998924255371,0.004665202094733012
2003-12-31,1.7888127565383911,0.004601985243946104
2004-01-01,1.785204291343689,0.004722670476863401
2004-01-02,1.7936897277832031,0.004654463142882567
2004-01-05,1.8072071075439453,0.004693917242561342
2004-01-06,1.8212946653366089,0.004907914303529782
2004-01-07,1.8177852630615234,0.005118259214389617
2004-01-08,1.8338866233825684,0.005026647566771545
2004-01-09,1.848087191581726,0.0053079200452404145
2004-01-12,1.845597267150879,0.005473283047319521
2004-01-13,1.8488048315048218,0.0053547000187698845
2004-01-14,1.8317031860351562,0.005249597833735273
2004-01-15,1.8251838684082031,0.0055334098403645405
2004-01-16,1.7990142107009888,0.005460665427655615
2004-01-19,1.7832940816879272,0.006228829020324198
2004-01-20,1.8188101053237915,0.00637247587913554
2004-01-21,1.8328109979629517,0.007620171496270011
2004-01-22,1.8436918258666992,0.0075975145271519415
2004-01-23,1.8277859687805176,0.0074968005680164825
2004-01-26,1.8150137662887573,0.0075297380572424515
2004-01-27,1.8266842365264893,0.007474802726490879
2004-01-28,1.815112590789795,0.007401842227654009
2004-01-29,1.8170915842056274,0.007325400305320011
2004-01-30,1.8252837657928467,0.007120549275603371
2004-02-02,1.821593165397644,0.0069945867832808106
2004-02-03,1.837897539138794,0.006813378858279037
2004-02-04,1.8322064876556396,0.006923175445897362
2004-02-05,1.836210012435913,0.006765131948185848
2004-02-06,1.8475067615509033,0.006598953030907633
2004-02-09,1.8597038984298706,0.006568771861571699
2004-02-10,1.8673090934753418,0.006562476551807775
2004-02-11,1.8925056457519531,0.006452986926726276
2004-02-12,1.8930072784423828,0.006965985297334952
2004-02-13,1.8852983713150024,0.0067723046041186724
2004-02-16,1.8887882232666016,0.006647616669703799
2004-02-17,1.9055966138839722,0.006481587934955088
2004-02-18,1.8926130533218384,0.006616814919380804
2004-02-19,1.8991910219192505,0.006613735637575786
2004-02-20,1.8619892597198486,0.006483391958853951
2004-02-23,1.868390440940857,0.007698296730967122
2004-02-24,1.890001893043518,0.007513777472734144
2004-02-25,1.872308611869812,0.007740940797955515
2004-02-26,1.8633078336715698,0.007798811257711924
2004-02-27,1.8695082664489746,0.007643620912186433
2004-03-01,1.8679020404815674,0.0074591525599682
2004-03-02,1.8382015228271484,0.007246128220313149
2004-03-03,1.8275855779647827,0.007893312310135386
2004-03-04,1.8229877948760986,0.007766212828680318
2004-03-05,1.8453929424285889,0.007558037145202259
2004-03-08,1.8527096509933472,0.007835488462864854
2004-03-09,1.826083779335022,0.007657423238809702
2004-03-10,1.8033939599990845,0.008102276344049872
2004-03-11,1.810184121131897,0.008337800493700096
2004-03-12,1.804109811782837,0.008131020755718334
2004-03-15,1.8048911094665527,0.007922100231978415
2004-03-16,1.8132038116455078,0.007688259556263396
2004-03-17,1.816794514656067,0.00753574773964669
2004-03-18,1.8354012966156006,0.0073315352490780665
2004-03-19,1.8341892957687378,0.007481704310977581
2004-03-22,1.8475067615509033,0.007266765414489017
2004-03-23,1.8520920276641846,0.007245914684483543
2004-03-24,1.8252837657928467,0.007062706001895212
2004-03-25,1.8079913854599,0.007593215789267976
2004-03-26,1.8176862001419067,0.007669505958646632
2004-03-29,1.8196043968200684,0.007543123058320579
2004-03-30,1.8275855779647827,0.007328632989084765
2004-03-31,1.843385934829712,0.007187883014719459
2004-04-01,1.8564931154251099,0.007248445223933168
2004-04-02,1.8280866146087646,0.00722136931564881
2004-04-05,1.8237859010696411,0.007811393657927261
2004-04-06,1.8434878587722778,0.0075986607003359664
2004-04-07,1.840197205543518,0.007763365600489724
2004-04-08,1.8310993909835815,0.007545186027108522
2004-04-09,1.8337857723236084,0.00740756048258429
2004-04-12,1.837897539138794,0.007202669365037206
2004-04-13,1.8181158304214478,0.0070173206287471425
2004-04-14,1.789805293083191,0.007232747036632313
2004-04-15,1.7914083003997803,0.007848311234476006
2004-04-16,1.796299695968628,0.007619761404990653
2004-04-19,1.8071091175079346,0.007424042055111579
2004-04-20,1.7852998971939087,0.007336691940449507
2004-04-21,1.769504427909851,0.00762126115104861
2004-04-22,1.7752845287322998,0.007657708036959606
2004-04-23,1.7732068300247192,0.007471209504326538
2004-04-26,1.7860013246536255,0.007259712238299087
2004-04-27,1.7918899059295654,0.007237079761653853
2004-04-28,1.7710086107254028,0.007071247521664948
2004-04-29,1.7733955383300781,0.0073503732730873985
2004-04-30,1.7785998582839966,0.007146750342515189
2004-05-03,1.7713849544525146,0.0069770697484472345
