Date,GC=F,"GARCH(1,1) Volatility",Realized Volatility,Standardized Realized Volatility
2000-09-03,277.0,808.7845550474187,,
2000-09-10,273.29998779296875,974.0800343312224,,
2000-09-17,272.29998779296875,977.7631102414539,,
2000-09-24,271.79998779296875,978.7585341786605,,
2000-10-01,273.6000061035156,979.256246353553,0.05912022677710133,-1.0562181322734683
2000-10-08,269.29998779296875,977.4644649410103,0.06640675921673561,-0.97187659356017
2000-10-15,272.3999938964844,981.7448092825408,0.08599709506226967,-0.7451186558427395
2000-10-22,271.20001220703125,978.6589856845832,0.08750869077454146,-0.727621950881686
2000-10-29,264.3999938964844,979.8534768422076,0.11355785895483764,-0.4261030947276687
2000-11-05,264.6000061035156,986.6223964015174,0.1107108994473066,-0.4590566220067806
2000-11-12,264.5,986.4232985601866,0.0870432402476442,-0.733009535985939
2000-11-19,265.70001220703125,986.5228474781669,0.09749707943327976,-0.6120064539737041
2000-11-26,266.29998779296875,985.328321573386,0.01531560699351847,-1.5632561597448456
2000-12-03,268.70001220703125,984.7310892898672,0.028703633526905553,-1.408289889092106
2000-12-10,272.20001220703125,982.3420405907643,0.03451747447135391,-1.3409947394236637
2000-12-17,270.3999938964844,978.8580523002989,0.06196882505389019,-1.023245636256902
2000-12-24,273.70001220703125,980.6498350971436,0.06618494778590671,-0.9744440586109736
2000-12-31,272.0,977.3649165185684,0.0792613693611152,-0.8230846121727976
2001-01-07,268.0,979.0571493159382,0.08209212307266876,-0.7903186668169309
2001-01-14,263.8999938964844,983.0388512017662,0.09250591089059372,-0.6697791789776815
2001-01-21,264.29998779296875,987.120110720689,0.05741222801562703,-1.075988200527001
2001-01-28,262.79998779296875,986.7219453302364,0.05784171788275195,-1.071016859693047
2001-02-04,267.1000061035156,988.2150887698543,0.09619745090375267,-0.6270496409551811
2001-02-11,259.8999938964844,983.9347292508407,0.12996363917642115,-0.2362063558956107
2001-02-18,258.20001220703125,991.1018300808395,0.12759655576210052,-0.26360532228744216
2001-02-25,260.8999938964844,992.7940451535652,0.14028310250145992,-0.11675867310001961
2001-03-04,262.1000061035156,990.1063994424914,0.11884913726422319,-0.36485660223332167
2001-03-11,270.79998779296875,988.9118712264722,0.12067759946393324,-0.3436921709101575
2001-03-18,258.1000061035156,980.2516711148689,0.24387566352123657,1.0823241647302804
2001-03-25,261.5,992.8935944119615,0.246016424285309,1.107103448752515
2001-04-01,257.8999938964844,989.5091352387022,0.2502564021945823,1.156181149832022
2001-04-08,260.0,993.0926929445546,0.1971195724687205,0.5411228874069045
2001-04-15,260.1000061035156,991.0022809175215,0.08468788075242144,-0.7602727981337208
2001-04-22,264.79998779296875,990.9027317595011,0.09686716237233814,-0.6192977375330265
2001-04-29,263.8999938964844,986.2242311184032,0.06840828245158637,-0.9487089825193545
2001-05-06,266.1000061035156,987.120110720689,0.0685268207613165,-0.9473369027925518
2001-05-13,267.8999938964844,984.9301565701177,0.06337762012814496,-1.0069388476329943
2001-05-20,287.3999938964844,983.138399936203,0.251193909867391,1.1670327915882726
2001-05-27,277.8999938964844,963.7276861562779,0.3158191679870057,1.91506949556347
2001-06-03,266.3999938964844,973.1841611842889,0.3756802633251837,2.6079610639071618
2001-06-10,273.3999938964844,984.6315404688207,0.3870340276277107,2.7393807699740034
2001-06-17,271.20001220703125,977.6635618024548,0.21913778643630252,0.7959834896383978
2001-06-24,272.29998779296875,979.8534768422076,0.2036601092558877,0.6168295340472236
2001-07-01,270.6000061035156,978.7585341786605,0.11373438334467405,-0.4240598267147185
2001-07-08,265.8999938964844,980.4507379060847,0.06332871892000884,-1.007504878618694
2001-07-15,267.1000061035156,985.129254249989,0.07458043164443726,-0.8772664185280777
2001-07-22,269.8999938964844,983.9347292508407,0.08854820982723077,-0.7155895284431731
2001-07-29,267.3999938964844,981.147547792461,0.0915825800887948,-0.6804667235965061
2001-08-05,267.8999938964844,983.6361133117226,0.05962451595936352,-1.050380990129269
2001-08-12,273.8999938964844,983.138399936203,0.09660315673953854,-0.6223536000415333
2001-08-19,279.29998779296875,977.1658500681631,0.10842534426897506,-0.48551189989809873
2001-08-26,272.5,971.7905782591563,0.15522899961919143,0.056239933686309945
2001-09-02,274.3999938964844,978.5594371960063,0.15458644743021727,0.04880239864880742
2001-09-09,273.1000061035156,976.6681384720008,0.13497590672499896,-0.17818941011350944
2001-09-16,290.20001220703125,977.962176758075,0.26898680248656903,1.372985342282919
2001-09-23,291.8999938964844,960.9405061925386,0.21935915613181522,0.7985458416074193
2001-09-30,292.3999938964844,959.2483212984254,0.22456578231586216,0.8588124866138757
2001-10-07,291.3999938964844,958.7506148190564,0.22246034926108554,0.8344421204666259
2001-10-14,284.8999938964844,959.7460279238094,0.08969113202950316,-0.7023602156022791
2001-10-21,280.1000061035156,966.2162272385077,0.08101279511028163,-0.8028118769794027
2001-10-28,277.8999938964844,970.9942239546701,0.06161835911907732,-1.0273022758798769
2001-11-04,279.79998779296875,973.1841611842889,0.0918215253371617,-0.6777009347823542
2001-11-11,277.3999938964844,971.2928681683425,0.07102805345340435,-0.918385159878019
2001-11-18,274.70001220703125,973.6818718076055,0.05637436747152353,-1.0880014257455393
2001-11-25,272.8999938964844,976.3694933539558,0.0553507950361707,-1.0998492662509345
2001-12-02,273.8999938964844,978.1612736746649,0.04412423243654134,-1.22979661390337
2001-12-09,273.8999938964844,977.1658500681631,0.043917528646292024,-1.232189208168465
2001-12-16,278.0,977.1658500681631,0.06502665118723758,-0.9878513299334406
2001-12-23,278.0,973.0846130008306,0.05110865700161266,-1.1489519707585933
